,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC
CHOYP_GDAP2.1.1.m.57049,0.979445546193914,0.627384649959207,0.63415958083091,0.967036679485888,0.925573142744446,0.134720610018482,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_GDE.1.1.m.54948,0.979445546193914,0.928103024256292,0.0491970801097539,0.967036679485888,0.568819172815701,-0.280316889260362,0.949671592008509,0.503894715798076,-0.410569086724618,0.979180442953242,0.0511334093245633,-1.10232973280577,0.998682844793179,0.314880955545172,-0.487808421150556,0.958428402785477,0.805968011450961,-0.139346381472631
CHOYP_GELS2.2.2.m.30443,0.979445546193914,0.768114177838052,-0.0534885838648096,0.967036679485888,0.703394560384627,0.0722565230718279,0.949671592008509,0.0951909762432845,0.312108120509185,0.352493874461413,0.00217178421332947,0.552173701168465,0.998682844793179,0.218244252877986,0.192530090934026,0.958428402785477,0.249625564668368,-0.197852717848107
CHOYP_GEMIN5.2.2.m.59078,0.979445546193914,0.972795218079433,0.0491970801097538,0.967036679485888,0.121648764738267,1.71968311073964,0.949671592008509,0.864300751407332,-0.18817666538817,0.979180442953242,0.510199165987601,-0.687292233526924,0.998682844793179,0.413054870607597,-1.00238159398031,0.958428402785477,0.86527297019989,0.223223697912077
CHOYP_AMDHD2.2.2.m.52160,0.979445546193914,0.700576384180858,0.371125174997116,0.967036679485888,0.87146034879396,0.134720610018482,0.983037974432137,0.966969203317315,-0.0361735719431202,0.979180442953242,0.172017082889114,-1.53528914008187,0.998682844793179,0.653385218518997,-0.587344094701471,0.976932648911716,0.910021671093576,-0.0987043969752852
CHOYP_GEPH.1.2.m.49093,0.979445546193914,0.93250030322276,-0.0439123242817274,0.967036679485888,0.268734407935614,-0.630814136344495,0.949671592008509,0.320293818109659,-0.666223962192814,0.979180442953242,0.909274222861964,-0.0658038567806534,0.998682844793179,0.489016190149896,-0.461813212617611,0.958428402785477,0.787197312788728,0.1687759138897
CHOYP_GFM2.1.1.m.18396,0.979445546193914,0.739201599366864,-0.36584041916909,0.967036679485888,0.908911878603597,0.134720610018482,0.949671592008509,0.785153129973198,-0.358101666830482,0.979180442953242,0.682695743827065,-0.535289140081874,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_GGPPS.1.1.m.12124,0.979445546193914,0.720256710992697,0.312231485943547,0.967036679485888,0.506326310013818,-0.543351295094156,0.949671592008509,0.443085840815039,-0.773139166109326,0.979180442953242,0.147317969935329,1.21959836208159,0.998682844793179,0.997535776365624,-0.0023815939803149,0.976932648911716,0.910021671093576,-0.0987043969752852
CHOYP_GIGA2.1.1.m.44916,0.00289250440400746,1.81849893374039e-05,3.57275903616677,0.967036679485888,0.893094332545274,-0.0579244679239137,0.949671592008509,0.202148490856487,-0.609640433826447,0.979180442953242,0.0352725849255959,-1.00477442338309,0.998682844793179,0.876831555146214,0.071618987463463,0.958428402785477,0.249440299780232,0.638261197190921
CHOYP_GIGA3.1.1.m.42774,0.979445546193914,0.972795218079433,0.0491970801097538,0.967036679485888,0.208129841464927,1.45664870490584,0.949671592008509,0.568345043187486,0.548788928778036,0.979180442953242,0.186978872223103,1.27206578197573,0.998682844793179,0.740747320649461,0.319546500907048,0.963455877066767,0.883552405860787,0.123688024361162
CHOYP_GIPC1.1.1.m.60630,0.979445546193914,0.703591575679375,0.129367428793738,0.967036679485888,0.827985137742481,0.0676064141599451,0.949671592008509,0.848084226465511,-0.0668703691660362,0.979180442953242,0.863025816224439,-0.054663299175453,0.998682844793179,0.794450834503094,-0.0954909983717958,0.958428402785477,0.7715948805089,0.107746480492141
CHOYP_GIT1.1.2.m.26059,0.979445546193914,0.888567536603821,-0.0883064436401813,0.967036679485888,0.798071391460317,0.134720610018482,0.949671592008509,0.738432110935214,0.226860833890674,0.979180442953242,0.220486939804708,0.677704583252325,0.998682844793179,0.237613027617072,-0.680453499092952,0.958428402785477,0.0453315889090005,1.22322369791208
CHOYP_GLCM.2.3.m.40511,0.979445546193914,0.492409113169946,0.63415958083091,0.967036679485888,0.580846820958775,0.719683110739638,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.318500494585654,0.997618406019686,0.978007666549162,0.967186004955257,-0.0398107079217165
CHOYP_GLIPR1L1.1.1.m.41745,0.979445546193914,0.972795218079433,0.0491970801097538,0.967036679485888,0.159537072131345,1.00918972793462,0.949671592008509,0.611775185639924,-0.27563950663851,0.979180442953242,0.670693616890494,0.194063269974457,0.998682844793179,0.643164777332965,0.209122511213398,0.958428402785477,0.266964894479901,0.496242192318493
CHOYP_GLO1.1.1.m.32382,0.979445546193914,0.27315409681338,-0.950802919890246,0.967036679485888,0.663275236680928,0.304645611460794,0.949671592008509,0.406149695155684,0.641898333169518,0.979180442953242,0.342866173265258,-0.950326639360717,0.998682844793179,0.707075519749354,0.412655905298529,0.958428402785477,0.620761454568527,0.445616119248525
CHOYP_AMO.1.5.m.28337,0.979445546193914,0.972795218079433,0.0491970801097538,0.967036679485888,0.351435717845637,1.13472061001848,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_GLRX3.1.1.m.63529,0.979445546193914,0.729508053872271,-0.152436781059897,0.967036679485888,0.540504579421476,0.260251492102341,0.949671592008509,0.844207922204836,-0.0950672609966889,0.979180442953242,0.563698312881825,-0.234119605361308,0.998682844793179,0.758830820171076,-0.133626127258568,0.958428402785477,0.692628093743752,0.1908022202197
CHOYP_GMDS.1.1.m.28602,0.979445546193914,0.236596645364727,-0.45330326041943,0.967036679485888,0.471052895847904,-0.280316889260361,0.949671592008509,0.562990607355914,-0.238802738458138,0.979180442953242,0.156266589839856,-0.582594854860231,0.998682844793179,0.218554386855986,0.492383097769263,0.958428402785477,0.736623712782473,0.145221185910803
CHOYP_GMFB.2.2.m.54955,0.979445546193914,0.942327426200764,0.0491970801097539,0.967036679485888,0.133680344647384,0.942075532076086,0.949671592008509,0.570159867486721,0.396785835332986,0.979180442953242,0.351690930892237,-0.687292233526924,0.998682844793179,0.7792210435295,-0.224774015316763,0.958428402785477,0.784214186261853,-0.191813801366767
