Cluster,Silo,ID,D3,D5,D7,D9,D11,D13
2,3,CHOYP_LOC100711559.1.1.m.10313,46.5218,46.82915,61.03385,49.6907,37.17375,37.7152
2,3,CHOYP_LOC100727208.1.1.m.9366,55.6508,42.11675,60.45025,65.3911,30.5786,74.7245
2,3,CHOYP_LOC100755189.1.1.m.33307,60.236,47.5174,59.1693,50.43575,67.9373,47.44815
26,3,CHOYP_LOC100890099.1.1.m.11505,0.1,0.1,0.1,399.37935,0.1,0.1
4,3,CHOYP_LOC100903522.1.3.m.2296,159.1001,242.87365,228.2578,185.9719,243.9528,268.7364
2,3,CHOYP_LOC101040300.1.2.m.6533,55.0928,62.42775,54.6285,62.3906,66.20035,66.40635
12,3,CHOYP_LOC101072646.1.1.m.8800,133.43575,197.0244,180.9229,279.45035,273.36825,153.9401
17,3,CHOYP_LOC101156984.2.2.m.22956,475.48035,390.79095,452.0377,434.48045,450.16025,369.9468
2,3,CHOYP_LOC101157371.3.3.m.51109,44.47595,35.07235,60.81375,61.46505,68.1714,43.78625
18,3,CHOYP_LOC101169658.2.3.m.20752,8.2151,58.0008,188.02175,212.2051,371.88895,343.9124
3,3,CHOYP_LOC101173335.4.4.m.49816,74.04785,57.98815,58.2571,163.1489,183.0191,168.2268
13,3,CHOYP_LOC587133.1.1.m.61281,365.99355,410.38745,303.24275,334.5834,379.27185,287.51045
2,3,CHOYP_LOC658201.1.1.m.42880,27.02335,43.2452,47.87815,57.8242,33.031,58.9495
2,3,CHOYP_LOC658895.1.1.m.20262,60.3686,71.6763,58.16865,61.02605,68.439,72.8067
22,3,CHOYP_LOC752782.1.1.m.53937,255.1912,439.6172,0.1,0.1,0.1,0.1
35,3,CHOYP_LOC754102.1.1.m.57578,194.2018,196.68555,413.94255,166.4163,215.3891,99.74995
2,3,CHOYP_LRP5.1.3.m.18025,54.85595,62.9643,51.2124,44.12805,46.7058,59.3314
3,3,CHOYP_MDHC.1.1.m.57053,89.46845,106.35345,108.30365,136.21565,128.4354,92.4813
19,3,CHOYP_MLE.1.9.m.15462,405.21395,268.20645,217.60245,297.9735,423.1871,279.31435
1,3,CHOYP_MYS.4.7.m.18188,162.82165,168.01925,164.15425,158.0989,178.9106,180.6226
20,3,CHOYP_MYSP.1.9.m.1097,79.74485,47.1293,188.0331,99.6236,250.0452,132.43355
21,3,CHOYP_MYSP.4.9.m.2302,853.89705,992.7304,784.781,851.46595,477.3096,1014.5178
4,3,CHOYP_MYSP.8.9.m.44813,203.59025,192.5266,210.51245,207.6088,172.4519,239.55005
1,3,CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082,121.57785,189.22455,200.1645,158.8146,146.9789,173.1578
2,3,CHOYP_NEMVEDRAFT_V1G164392.1.3.m.46942,50.5873,55.7324,58.46995,51.666,70.337,82.4137
3,3,CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,70.99295,58.18965,69.55425,58.8582,68.32065,76.07665
24,3,CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817,330.5441,388.00225,502.85645,414.7447,458.4088,452.8544
2,3,CHOYP_NPC2.5.7.m.30911,62.96075,44.60195,46.80265,43.1648,58.61545,71.50175
7,3,CHOYP_NPC2.6.7.m.31030,173.0241,252.0057,269.33205,363.95865,262.2899,273.89035
3,3,CHOYP_PABP4.4.6.m.38167,59.81335,61.7861,65.0106,71.2809,65.09145,59.9514
29,3,CHOYP_PAN2.1.1.m.44691,507.825,0.1,479.97415,0.1,300.49035,0.1
