Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
66.3508,68.78015,62.79195,55.5294,63.46375,70.4576,67.17505,55.61665,74.0649,53.26825,60.67355,62.48425,CHOYP_IF2A.1.1|m.13279
33.79335,35.35015,36.6973,30.85295,28.7656,30.3674,33.277,32.7505,33.9306,30.83205,32.94125,28.0629,CHOYP_IF2H.1.1|m.18253
4.99235,5.04785,0,13.69795,4.41085,6.99275,4.44275,5.03,4.67115,8.31375,4.83505,7.26665,CHOYP_ANKY2.2.2|m.44213
43.5138,27.15015,32.72285,31.56515,48.61345,44.1863,45.49725,50.34265,38.2738,41.27955,36.15125,38.46395,CHOYP_IF4A3.1.1|m.30424
22.449,17.0652,23.83015,17.8763,14.8128,20.8571,32.32125,16.9065,34.06695,24.87945,23.68145,21.7058,CHOYP_IF4E.1.1|m.56823
1.5216,2.31395,2.7798,2.7833,4.0331,4.25855,5.4341,3.06615,2.87445,3.38415,2.89275,1.52165,CHOYP_IF4G2.1.1|m.62766
34.3115,42.166,32.88915,33.7128,36.877,36.6401,34.9641,39.51795,34.24585,35.51215,39.31115,35.71885,CHOYP_IF6.1.1|m.22685
2.45505,1.6389,1.5394,2.6037,4.67765,2.28,1.45,1.64165,3.82575,2.7222,2.6942,1.9737,CHOYP_IFT140.1.1|m.61053
5.7806,1.49675,1.8114,2.6435,10.2081,4.04845,8.98555,4.3482,5.4087,6.4282,1.38935,2.80235,CHOYP_IFT57.1.1|m.13249
6.1183,6.1667,7.4304,7.80055,3.77235,6.25995,7.06615,5.55835,3.9856,4.7397,7.50625,7.6865,CHOYP_IKBZ.1.1|m.23083
0,0,0,0,0,3.1989,3.06775,2.30545,2.14095,0,3.25345,0,CHOYP_IMA2.2.2|m.49279
21.2303,15.81995,23.11165,16.3622,20.7146,19.78875,22.8413,25.89075,19.90975,19.8668,24.1905,20.5561,CHOYP_IMDH3.1.1|m.51789
0,0,0,0,3.89575,0,0,0,0,0,0,0,CHOYP_IMG5_109580.1.1|m.27791
0,0.96835,0,0,0,0,0,0.5185,0,0,0.4751,0,CHOYP_ANLN.1.1|m.6530
0,0,16.22905,4.15725,11.783,8.2874,19.8155,13.48715,12.5468,9.8786,12.4903,0,CHOYP_IMSP5.1.2|m.5157
2.25695,2.26115,1.41045,1.0618,3.9484,2.0872,3.982,3.3658,5.21355,1.28785,6.2914,0,CHOYP_INO1A.1.1|m.91
0,0,1.26495,0,2.6399,0,0,1.04055,0.965,1.16395,0,0,CHOYP_INT11.1.1|m.29494
0,0,0,0,0,0.6893,0.65355,0,0,0,1.9325,0,CHOYP_INT6.1.1|m.13005
0.9611,0.9923,1.1758,0.9041,1.63215,2.64245,0.8612,2.7791,0.8978,1.0822,1.76205,0.9478,CHOYP_INT9.1.1|m.11703
14.6466,18.3024,26.99715,24.51945,16.50385,25.0464,23.37955,30.5948,24.0905,29.19035,28.04905,20.92795,CHOYP_IPO7.1.1|m.16806
0,1.3986,0.8915,0,9.16875,1.29105,1.8554,2.1011,3.27405,0.8157,0.7132,0,CHOYP_IQCA1.1.3|m.4290
5.40775,8.39405,8.8193,9.60185,3.83965,6.7552,8.0614,7.2777,6.7642,4.43595,7.49885,3.8651,CHOYP_IQGA1.1.1|m.47731
0,0,1.7102,2.4971,3.61835,3.18565,3.6127,3.42915,1.90385,3.03615,2.57365,0.71015,CHOYP_IRF1.1.3|m.52606
13.2874,15.40705,11.6052,13.10025,12.6251,14.2219,19.51295,18.2266,14.2978,12.70405,16.13625,16.62845,CHOYP_ANM5.1.1|m.1529
1.4952,1.1222,1.8091,2.7166,0.98325,1.73085,1.64775,1.1274,1.75675,0.82575,1.74405,1.43995,CHOYP_ISCW_ISCW001487.2.2|m.61505
0.9978,1.92225,1.1872,0,3.30475,0.91985,1.73615,0,0,0,0.94625,0.9544,CHOYP_ISCW_ISCW003928.1.1|m.18079
7.89965,15.72785,4.7696,21.24935,17.1148,10.85645,13.7839,7.803,10.93825,4.3349,11.1845,18.76285,CHOYP_ISCW_ISCW004725.1.1|m.9722
46.4672,65.05835,56.5631,63.73,55.286,66.6629,60.3954,52.1458,50.103,51.6727,50.5401,55.45015,CHOYP_ISCW_ISCW005292.1.1|m.11066
