proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_DDX58.9.9.m.62758,1,darkslategray1,13.83065,30.0297,13.3512,17.7299,10.73645,7.5509,9.2329,10.5564,0.1,8.40555,0.1,15.26265,6.90605
CHOYP_DMOJ_GI18492.1.1.m.8903,2,black,0.1,0.1,0.1,0.1,0.1,5.59095,0.1,0.1,2.7662,6.15905,2.6936,2.83855,5.10505
CHOYP_DSEC_GM16292.1.1.m.12184,1,darkslategray1,10.72195,4.36195,0.1,26.6725,5.2822,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_DSIM_GD24875.1.1.m.66201,2,black,22.78395,56.49475,60.04015,23.2102,13.3981,0.1,0.1,122.6062,92.9867,27.6018,10.3443,10.8075,6.6216
CHOYP_EHHADH.1.1.m.26459,1,darkslategray1,0.81845,0.79415,1.4953,1.57225,1.66055,0.1,3.0675,1.6131,0.1,0.98885,0.1,0.1,0.1
CHOYP_EPDR2.1.1.m.33988,2,black,0.1,0.1,0.1,8.28335,5.52835,8.837,0.1,2.77785,5.90905,9.7987,11.37265,9.0248,5.3639
CHOYP_EPN4.1.3.m.10807,1,darkslategray1,20.68845,18.40385,23.9537,20.2558,22.93515,21.6627,26.4157,20.2445,1.82295,10.57395,0.1,0.1,25.3665
CHOYP_EXOS3.1.1.m.10596,1,darkslategray1,6.86105,4.41085,8.82725,7.05105,4.70595,0.1,0.1,6.99275,2.5305,0.1,0.1,0.1,0.1
CHOYP_F10A1.4.4.m.44752,2,black,31.1347,32.37945,37.3697,0.1,21.4373,40.6135,0.1,46.86725,18.93525,6.11785,40.8043,34.2592,42.1574
CHOYP_FABP6.2.2.m.59518,2,black,0.1,6.71335,16.8605,14.53915,18.2573,0.1,41.61365,10.64305,30.623,50.65625,0.1,0.1,0.1
CHOYP_FEN1.1.1.m.66181,1,darkslategray1,4.41155,1.4621,7.1483,1.52075,3.0208,4.7852,5.8502,0.1,1.68655,1.82305,1.5997,0.1,0.1
