protein,PC1loadings,PC2loadings
CHOYP_ANKK1.1.1.m.56194,0.0221961184182269,0.00179266360917541
CHOYP_HIF1N.1.1.m.53726,0.00791421866336361,-0.0265251795980207
CHOYP_HINT1.1.1.m.53526,-0.000999983891706611,0.00160488644386714
CHOYP_HIP1.1.1.m.31791,-0.00174553533453124,-0.0114709019649048
CHOYP_HIRA.1.1.m.19212,-0.00251178921097802,-0.0140949983829483
CHOYP_HMBS.1.1.m.31422,-0.000787360037493939,-0.00245478328997294
CHOYP_HMCN1.28.44.m.47379,0.0331013284095094,0.00355140435770772
CHOYP_HMCN2.10.12.m.49343,-0.0111518183559784,-0.00709698967364558
CHOYP_HMCN2.3.12.m.26811,-7.13951312007994e-05,-0.00239575671588216
CHOYP_HOOK3.1.1.m.14456,-0.0102591668656428,0.0102965887392768
CHOYP_HPGD.1.3.m.50258,0.00671139613963657,0.00144396309948056
CHOYP_ANKMY2.1.1.m.18238,0.000305384390566131,-0.00385932736622383
CHOYP_HPRT.1.1.m.61881,0.000687963559167956,0.00109722083205272
CHOYP_HS12A.20.33.m.55554,-0.00509109262997517,0.0168960920752018
CHOYP_HS12B.2.14.m.19896,0.0133709344468968,-0.00198033844827284
CHOYP_HS12B.7.14.m.40601,0.00019978116847334,-0.000359229004477412
CHOYP_HS90A.1.3.m.7725,0.00516020439029757,9.80274329797813e-05
CHOYP_HS90A.3.3.m.28300,0.00071681954720603,0.00475147068171337
CHOYP_HSP21.4.1.1.m.8171,-0.00338097055777167,-0.00162556036915503
CHOYP_HSP7D.2.3.m.34785,-0.00867017620219094,0.00518261086633816
CHOYP_HSP7D.3.3.m.41778,0.000113488059744244,-0.00245621447072997
CHOYP_HSP7E.1.1.m.13730,6.56195705751162e-05,-3.94761142951281e-05
CHOYP_AAEL_AAEL001503.1.1.m.10649,-0.000430770242195839,-0.00646287123148078
CHOYP_ANKRD5.1.2.m.11711,-0.0135094043768136,-0.0188621537126257
CHOYP_HTR5B.1.1.m.39330,-0.00644784022508109,0.0167495617353833
CHOYP_HTT.1.1.m.33803,0.0161860238486167,-0.00251651378228354
CHOYP_HUTH.1.1.m.30350,-0.00161985923400218,0.00241765748773132
CHOYP_HVCN1.1.4.m.8888,0.00431843610737503,0.00509996194895134
CHOYP_HX1.1.1.m.23716,0.0096987055897075,0.00366616949394978
CHOYP_HYOU1.1.3.m.163,-0.0101262484116029,-0.00191736191712763
CHOYP_IDHC.1.1.m.7041,0.000443391321066141,7.60958253957252e-05
