protein,PC1loadings
CHOYP_ARALYDRAFT_472154.1.1.m.29819,0.00569312885859755
CHOYP_LNTL.1.1.2.m.10782,-0.00444981674587176
CHOYP_LOAG_05718.1.1.m.48540,0.0036452329946308
CHOYP_LOC100005182.1.1.m.53007,0.000506596707572633
CHOYP_LOC100008030.1.1.m.10817,0.000141773950522679
CHOYP_LOC100013725.1.2.m.12740,-0.00267858690848487
CHOYP_LOC100017224.1.1.m.26828,-0.000575140640138137
CHOYP_LOC100024134.1.1.m.61877,0.00833192841587036
CHOYP_LOC100024935.1.1.m.2615,0.00161042948574823
CHOYP_LOC100027252.1.1.m.30045,-0.0033576937663738
CHOYP_LOC100068494.1.1.m.8733,0.000115361952273135
CHOYP_ARB_02478.1.1.m.29725,-0.0374050101883907
CHOYP_LOC100072802.1.1.m.27280,-0.00810127618865697
CHOYP_LOC100080726.1.1.m.59048,0.000714640078975386
CHOYP_LOC100081619.1.1.m.33744,0.013167821090589
CHOYP_LOC100081920.1.4.m.1772,-0.0216630554136457
CHOYP_LOC100089326.1.1.m.19184,-0.00648201011446541
CHOYP_LOC100113561.1.1.m.37903,-0.000195422184818444
CHOYP_LOC100113671.1.1.m.18491,-0.00518754159618913
CHOYP_LOC100114159.1.1.m.53867,-0.000142271116678235
CHOYP_LOC100114171.1.1.m.50280,-0.000561381987439021
CHOYP_LOC100114247.1.1.m.30717,-0.00115411138998081
CHOYP_ARC1A.1.1.m.56262,0.00198173892186275
CHOYP_LOC100114636.1.1.m.11052,-0.000836861363427467
CHOYP_LOC100114736.1.1.m.18266,-0.00090025788588199
CHOYP_LOC100115002.1.1.m.45844,-0.00301141839663215
CHOYP_LOC100115298.1.1.m.39207,7.62383479752525e-05
CHOYP_LOC100115467.1.1.m.51329,-0.000694690942154631
CHOYP_LOC100115577.1.1.m.21791,0.000503291327732532
CHOYP_LOC100115776.1.1.m.24729,-0.0030063582432277
CHOYP_LOC100116049.1.1.m.54372,-0.00978437295881518
CHOYP_LOC100116719.1.1.m.58,-0.00451931372882885
CHOYP_LOC100116878.1.1.m.11654,-0.0130145207414572
CHOYP_ARC1A.1.1.m.56263,0.00378143148099224
CHOYP_LOC100116878.1.1.m.11655,-0.00253872862291694
CHOYP_LOC100118063.2.4.m.29108,-0.0217737191757051
CHOYP_LOC100118098.1.1.m.14795,-0.00313569521642463
CHOYP_LOC100118291.1.1.m.54817,0.00527913235028782
CHOYP_LOC100118811.1.1.m.57633,-0.0154877483272814
CHOYP_LOC100119008.1.1.m.43229,-0.00121419777642967
CHOYP_LOC100119086.1.1.m.55425,0.0181395932993766
CHOYP_LOC100119577.1.1.m.47861,-0.00647442394701588
CHOYP_LOC100119750.1.1.m.7019,-0.0273618409750623
CHOYP_LOC100120123.1.1.m.12979,-0.00209510816743536
CHOYP_ARF6.1.2.m.3974,0.00696219137671023
CHOYP_LOC100120260.1.1.m.41887,-0.01145075112581
CHOYP_LOC100120440.1.1.m.15371,0.00115538782084426
CHOYP_LOC100120677.1.1.m.16799,-0.00678239403013326
CHOYP_LOC100120994.1.1.m.54109,-0.0238369373087791
CHOYP_LOC100121363.1.1.m.46369,0.0127265661423193
CHOYP_LOC100121687.1.1.m.57141,-0.00799621479790058
CHOYP_LOC100121999.3.4.m.54805,0.0224376650335173
CHOYP_LOC100122037.1.1.m.12516,-0.00501721331456306
CHOYP_LOC100122067.1.1.m.49811,-0.0111843631030258
CHOYP_LOC100122269.1.1.m.8408,0.00116301741341942
CHOYP_ARHGAP8.1.1.m.25503,-0.00141594279081201
CHOYP_LOC100123216.1.1.m.28671,-0.00101176183184916
CHOYP_LOC100123890.1.1.m.11450,0.000780241316902014
CHOYP_LOC100123907.1.1.m.2987,-0.0576532875056584
CHOYP_LOC100142249.1.1.m.55762,0.0263005116583537
CHOYP_LOC100150876.1.1.m.61100,-0.00221506303819998
CHOYP_LOC100160077.1.1.m.62645,0.00503738496129961
CHOYP_LOC100161158.1.1.m.14383,0.00328805949856221
CHOYP_LOC100161360.1.1.m.65809,-0.00253929645750251
CHOYP_LOC100164899.1.1.m.59665,-0.000145838282918543
CHOYP_LOC100165581.1.1.m.18008,-0.0117952023837601
CHOYP_AAEL_AAEL002467.1.2.m.47358,0.0271575002935752
CHOYP_ARI2.1.1.m.34963,-0.0214799842540514
